,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
otb0m,0.0,0.0,0.85,0.03,0.0,0.0,0.0,0.0,0.1,0.0,2
p0e2x,0.15,0.0,0.04,0.0,0.15,0.0,0.08,0.0,0.1,0.48,9
pfivr,0.0,0.21,0.27,0.0,0.25,0.0,0.0,0.0,0.26,0.0,2
pmaka,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.16,0.01,2
qr632,0.55,0.3,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0
r2cq6,0.3,0.16,0.03,0.22,0.0,0.15,0.0,0.0,0.0,0.13,0
suaof,0.09,0.0,0.0,0.08,0.2,0.0,0.0,0.17,0.0,0.45,9
t1scb,0.0,0.0,0.18,0.12,0.0,0.0,0.0,0.67,0.0,0.0,7
tzrn0,0.0,0.12,0.0,0.44,0.0,0.0,0.0,0.2,0.23,0.0,3
tzspb,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.07,7
u10e7,0.01,0.09,0.18,0.01,0.01,0.29,0.01,0.01,0.01,0.41,9
u11fi,0.01,0.08,0.18,0.01,0.01,0.25,0.01,0.01,0.01,0.46,9
ug4j0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.27,0.0,0.07,6
uh1sf,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.38,0.43,0.0,8
uuyls,0.54,0.0,0.27,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0
vaf79,0.19,0.0,0.29,0.0,0.19,0.0,0.0,0.0,0.33,0.0,8
vgi5k,0.37,0.14,0.24,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0
vi3kt,0.21,0.06,0.0,0.0,0.19,0.0,0.09,0.0,0.18,0.27,9
vix9q,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,6
w25o3,0.0,0.0,0.09,0.0,0.16,0.03,0.03,0.13,0.0,0.55,9
wmpsz,0.16,0.0,0.03,0.0,0.07,0.0,0.0,0.29,0.0,0.45,9
wvhgp,0.11,0.0,0.05,0.09,0.0,0.0,0.0,0.15,0.19,0.41,9
x52hp,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.29,0.43,0.13,8
xmdo4,0.01,0.26,0.01,0.01,0.01,0.01,0.69,0.01,0.01,0.01,6
xt786,0.04,0.0,0.07,0.11,0.0,0.0,0.0,0.41,0.08,0.28,7
xugyk,0.56,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0
xvukk,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
xw4a2,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.48,0.01,0.01,7
xx26r,0.0,0.06,0.37,0.0,0.14,0.18,0.0,0.0,0.25,0.0,2
xxs2s,0.0,0.0,0.19,0.0,0.0,0.26,0.0,0.0,0.17,0.35,9
xz4ks,0.06,0.0,0.08,0.0,0.3,0.0,0.0,0.0,0.22,0.34,9
xzoxo,0.0,0.0,0.0,0.15,0.73,0.0,0.0,0.0,0.11,0.0,4
y09du,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0
y1o1p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
y2185,0.26,0.0,0.0,0.04,0.0,0.0,0.07,0.3,0.16,0.17,7
y2bl9,0.0,0.0,0.08,0.46,0.0,0.14,0.0,0.0,0.31,0.0,3
y2szm,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,8
y7huk,0.01,0.01,0.01,0.01,0.01,0.21,0.72,0.01,0.01,0.01,6
yd7zl,0.19,0.02,0.0,0.0,0.2,0.0,0.0,0.27,0.3,0.0,8
yfhm1,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0.46,0.01,8
ygdo3,0.07,0.0,0.0,0.0,0.5,0.22,0.2,0.0,0.0,0.0,4
ymv56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.72,0.0,8
yn6w0,0.0,0.17,0.1,0.0,0.0,0.19,0.24,0.15,0.16,0.0,6
ytrk1,0.2,0.0,0.28,0.0,0.0,0.07,0.0,0.0,0.36,0.09,8
ytxi8,0.01,0.01,0.01,0.01,0.24,0.01,0.31,0.01,0.01,0.4,9
yx04y,0.37,0.0,0.0,0.15,0.0,0.0,0.0,0.46,0.0,0.0,7
yxe97,0.17,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.2,0.48,9
