,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
otb0m,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.0,0.06,0.27,0.09,0.1,0.07,0.02,0.08,0.0,0.32,9
pfivr,0.0,0.4,0.17,0.0,0.42,0.0,0.0,0.0,0.0,0.0,4
pmaka,0.01,0.01,0.01,0.01,0.01,0.01,0.74,0.17,0.01,0.01,6
qr632,0.04,0.52,0.0,0.08,0.0,0.35,0.0,0.0,0.0,0.0,1
r2cq6,0.0,0.32,0.28,0.0,0.0,0.34,0.05,0.0,0.0,0.0,5
suaof,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.4,0.23,0.25,7
t1scb,0.0,0.37,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.47,9
tzrn0,0.0,0.27,0.22,0.0,0.28,0.0,0.0,0.0,0.0,0.22,4
tzspb,0.0,0.0,0.09,0.2,0.0,0.11,0.0,0.0,0.59,0.0,8
u10e7,0.0,0.0,0.35,0.0,0.0,0.34,0.0,0.27,0.0,0.0,2
u11fi,0.0,0.0,0.43,0.0,0.0,0.3,0.0,0.24,0.0,0.0,2
ug4j0,0.0,0.32,0.0,0.26,0.0,0.0,0.0,0.12,0.28,0.0,1
uh1sf,0.0,0.16,0.0,0.14,0.37,0.0,0.0,0.05,0.27,0.0,4
uuyls,0.0,0.0,0.33,0.0,0.0,0.26,0.0,0.0,0.39,0.0,8
vaf79,0.0,0.0,0.26,0.0,0.51,0.22,0.0,0.0,0.0,0.0,4
vgi5k,0.0,0.0,0.29,0.0,0.0,0.68,0.0,0.0,0.0,0.0,5
vi3kt,0.03,0.24,0.2,0.0,0.17,0.15,0.0,0.08,0.0,0.12,1
vix9q,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
w25o3,0.14,0.06,0.14,0.0,0.24,0.0,0.0,0.31,0.11,0.0,7
wmpsz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.51,0.08,8
wvhgp,0.0,0.0,0.36,0.04,0.17,0.0,0.0,0.1,0.14,0.19,2
x52hp,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.17,0.18,0.08,4
xmdo4,0.01,0.72,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,1
xt786,0.0,0.0,0.33,0.16,0.16,0.0,0.0,0.06,0.29,0.0,2
