,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
otb0m,0.31,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.08,0.11,0.3,0.0,0.0,0.0,0.21,0.06,9
pfivr,0.0,0.0,0.15,0.0,0.0,0.0,0.09,0.0,0.59,0.0,0.16,0.0,0.0,0.0,0.0,8
pmaka,0.01,0.01,0.64,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
qr632,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.16,0.0,0.29,0.0,0.0,0.13,0.31,14
r2cq6,0.23,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.25,0.11,0.09,0.0,0.0,0.23,9
suaof,0.0,0.0,0.0,0.12,0.28,0.12,0.0,0.1,0.0,0.04,0.0,0.0,0.04,0.29,0.0,13
t1scb,0.0,0.0,0.22,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.27,14
tzrn0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.29,0.0,0.21,0.0,0.0,8
tzspb,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.6,0.0,0.06,0.0,0.2,0.0,0.0,0.0,7
u10e7,0.0,0.0,0.0,0.0,0.0,0.51,0.1,0.0,0.0,0.13,0.0,0.0,0.0,0.22,0.0,5
u11fi,0.0,0.0,0.0,0.0,0.0,0.47,0.09,0.0,0.0,0.25,0.0,0.0,0.14,0.0,0.0,5
ug4j0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.34,0.0,11
uh1sf,0.33,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.22,0.0,0.0,0.28,0.0,0.14,0.0,0
uuyls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.63,0.0,0.0,0.0,0.09,10
vaf79,0.35,0.02,0.23,0.0,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0
vgi5k,0.66,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0
vi3kt,0.22,0.0,0.0,0.0,0.15,0.03,0.0,0.03,0.0,0.25,0.08,0.0,0.0,0.08,0.15,9
vix9q,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.19,0.37,0.01,0.01,0.01,8
w25o3,0.0,0.0,0.06,0.09,0.2,0.12,0.0,0.0,0.0,0.15,0.0,0.06,0.0,0.32,0.0,13
wmpsz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.75,0.0,13
wvhgp,0.08,0.0,0.09,0.05,0.0,0.1,0.0,0.14,0.0,0.25,0.0,0.0,0.29,0.0,0.0,12
x52hp,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.4,0.0,0.15,0.05,0.09,0.08,0.0,8
xmdo4,0.0,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,11
xt786,0.17,0.0,0.0,0.16,0.0,0.09,0.0,0.29,0.0,0.19,0.0,0.07,0.0,0.03,0.0,7
xugyk,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0
xvukk,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,8
