,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
otb0m,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.07,0.0,0.0,0.07,0.1,0.0,0.0,0.0,0.05,0.24,0.3,0.17,0.0,0.0,0.0,10
pfivr,0.0,0.19,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.34,0.0,0.0,0.06,0.0,0.0,9
pmaka,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.51,0.01,13
qr632,0.3,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.22,9
r2cq6,0.0,0.18,0.0,0.0,0.0,0.06,0.03,0.0,0.26,0.17,0.23,0.0,0.06,0.0,0.0,8
suaof,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.06,0.0,0.26,0.23,0.28,0.0,0.0,12
t1scb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33,0.0,0.0,0.37,14
tzrn0,0.0,0.0,0.04,0.0,0.34,0.02,0.0,0.0,0.0,0.26,0.17,0.0,0.0,0.0,0.16,4
tzspb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.06,0.0,0.06,0.0,0.33,8
u10e7,0.0,0.0,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,10
u11fi,0.0,0.0,0.27,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10
ug4j0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.07,0.0,0.53,0.0,0.2,12
uh1sf,0.0,0.0,0.0,0.07,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.33,0.05,0.09,4
uuyls,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.51,0.13,0.0,0.0,0.0,0.0,0.0,8
vaf79,0.07,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.0,0.0,0.0,0.0,0.0,2
vgi5k,0.0,0.0,0.31,0.12,0.0,0.19,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,8
vi3kt,0.12,0.0,0.07,0.01,0.12,0.04,0.03,0.0,0.05,0.33,0.19,0.0,0.0,0.0,0.04,9
vix9q,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.41,9
w25o3,0.05,0.0,0.08,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.39,0.07,0.17,0.0,0.0,10
