,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
otb0m,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.11,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.03,0.31,0.12,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,9
pfivr,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,2
pmaka,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11
qr632,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.09,0.39,0.12,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,8
r2cq6,0.07,0.0,0.16,0.0,0.0,0.07,0.03,0.0,0.29,0.0,0.12,0.0,0.03,0.0,0.03,0.12,0.0,0.07,0.0,0.0,8
suaof,0.29,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.26,0.05,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0
t1scb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,0.08,0.17,0.0,0.0,0.14,0.0,0.0,0.28,0.0,0.0,17
tzrn0,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.4,0.09,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,9
tzspb,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.49,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.08,0.0,0.0,8
u10e7,0.28,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.15,0.16,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
u11fi,0.24,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.22,0.15,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ug4j0,0.13,0.0,0.0,0.13,0.0,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.35,0.0,0.0,17
uh1sf,0.04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.0,0.0,0.18,0.0,0.0,0.06,1
uuyls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.31,0.0,0.03,0.0,0.0,0.16,0.0,0.0,8
vaf79,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2
vgi5k,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.04,0.47,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
vi3kt,0.15,0.0,0.12,0.0,0.06,0.03,0.0,0.02,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,9
vix9q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,15
w25o3,0.38,0.0,0.0,0.0,0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.19,0.0,0.0,0.0,0
wmpsz,0.38,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0
wvhgp,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.3,0.0,0.07,0.19,0.0,0.0,0.0,0.0,0.2,0.09,0.0,0.0,8
x52hp,0.14,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.0,0.16,2
xmdo4,0.0,0.0,0.0,0.12,0.0,0.06,0.16,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,7
xt786,0.09,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.07,0.0,0.0,0.0,0.12,0.16,0.0,0.06,4
xugyk,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,8
xvukk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,15
xw4a2,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.23,0.01,0.01,12
xx26r,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.07,0.16,0.14,0.0,0.0,0.0,2
xxs2s,0.1,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.22,4
xz4ks,0.21,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.04,0.0,0.0,0.0,0.35,0.0,0.0,0.0,16
xzoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.07,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,16
y09du,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.6,0.0,0.0,0.0,0.0,15
y1o1p,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,18
y2185,0.02,0.0,0.0,0.37,0.29,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.17,0.07,0.0,0.0,0.0,3
y2bl9,0.0,0.0,0.0,0.48,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,0.0,3
y2szm,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,16
y7huk,0.0,0.8,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
yd7zl,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.13,0.06,0.13,16
yfhm1,0.0,0.0,0.0,0.0,0.23,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.44,0.0,0.0,0.0,0.0,15
ygdo3,0.0,0.0,0.24,0.0,0.0,0.0,0.03,0.0,0.0,0.32,0.0,0.0,0.0,0.06,0.02,0.0,0.27,0.0,0.0,0.05,9
ymv56,0.0,0.19,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.3,0.0,0.0,0.35,19
yn6w0,0.04,0.0,0.16,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,0.18,0.05,0.0,14
ytrk1,0.03,0.0,0.12,0.06,0.08,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.08,0.0,0.0,0.36,19
ytxi8,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,15
yx04y,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.48,0.17,0.0,17
yxe97,0.3,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,4
yynyd,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.22,0.28,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.0,0.0,0.06,9
z0uj9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,9
