,t0 amp,t1 feel,t2 know,t3 feel,t4 ultrasound,t5 work,t6 nt,t7 doctor,t8 year,t9 surgery,t10 weight,t11 hysterectomy,t12 help,t13 gynaecologist,t14 period,t15 control,t16 lap,t17 endometriosis,t18 period,t19 share,dominant_topic
2n5alb,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.55,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.07,0.03,0.0,0.08,8
2tv4of,0.0,0.07,0.2,0.0,0.04,0.0,0.24,0.04,0.31,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,8
2u95w1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.35,0.0,0.21,0.0,0.02,0.15,0.0,0.0,0.0,0.0,0.0,9
2xnjq3,0.0,0.06,0.27,0.0,0.0,0.01,0.07,0.15,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.16,0.0,0.02,2
33p0nx,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,7
39ti3h,0.0,0.0,0.23,0.0,0.0,0.0,0.05,0.16,0.24,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8
3c7tfz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.73,0.01,18
3e7b19,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,17
3egm36,0.0,0.0,0.29,0.0,0.0,0.0,0.02,0.0,0.45,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,8
3eh13z,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3eloa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.18,0.0,0.0,15
3er5rh,0.0,0.0,0.36,0.07,0.11,0.0,0.08,0.0,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3exuup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.06,0.0,0.0,0.0,0.44,0.22,0.0,0.0,0.0,15
3ez2kk,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.11,0.17,0.0,8
3ffn4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.12,0.5,0.0,0.0,0.0,0.0,15
3gmak6,0.0,0.27,0.0,0.1,0.0,0.0,0.31,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,6
3gpnb1,0.0,0.06,0.0,0.0,0.16,0.0,0.08,0.0,0.25,0.07,0.0,0.0,0.02,0.0,0.13,0.0,0.09,0.09,0.0,0.05,8
3gpsea,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.12,0.0,0.37,0.0,0.0,0.0,16
3ha0zg,0.02,0.0,0.0,0.11,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,6
3hdogh,0.0,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.39,0.08,0.06,0.0,0.01,0.0,0.0,0.22,0.0,0.0,0.09,0.02,8
3hit8q,0.0,0.26,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.05,0.07,0.0,0.0,1
3hnh1l,0.0,0.3,0.35,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2
