,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
cx393,0.0,0.38,0.0,0.24,0.0,0.0,0.0,0.37,0.0,0.0,1
cxl3p,0.02,0.0,0.0,0.0,0.28,0.0,0.32,0.0,0.38,0.0,8
dd89k,0.0,0.52,0.0,0.07,0.0,0.0,0.0,0.19,0.22,0.0,1
ds0n2,0.24,0.6,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1
dylgr,0.0,0.22,0.05,0.26,0.22,0.0,0.0,0.18,0.07,0.0,3
e52z3,0.0,0.28,0.08,0.27,0.0,0.0,0.0,0.19,0.17,0.0,1
obpr3,0.02,0.04,0.11,0.05,0.04,0.0,0.0,0.42,0.33,0.0,7
oc6av,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.6,0.08,0.0,7
oh156,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.18,0.67,0.0,8
oijl6,0.0,0.0,0.0,0.27,0.0,0.46,0.0,0.26,0.0,0.0,5
omptx,0.0,0.88,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
oq1m7,0.0,0.56,0.0,0.0,0.34,0.0,0.0,0.09,0.0,0.0,1
os64a,0.0,0.0,0.0,0.15,0.0,0.0,0.09,0.21,0.0,0.55,9
oup5i,0.0,0.22,0.1,0.09,0.25,0.09,0.0,0.24,0.01,0.0,4
ovr6j,0.0,0.2,0.0,0.25,0.0,0.0,0.42,0.0,0.11,0.0,6
owqdw,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.74,0.0,0.0,7
owyzg,0.0,0.0,0.0,0.36,0.0,0.0,0.12,0.36,0.0,0.15,3
p4530,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,6
p6h5c,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.39,0.45,0.0,8
p9mc8,0.0,0.04,0.37,0.0,0.1,0.17,0.02,0.26,0.05,0.0,2
pddfa,0.0,0.18,0.0,0.19,0.0,0.14,0.0,0.47,0.0,0.0,7
pe0hl,0.0,0.2,0.0,0.09,0.54,0.16,0.0,0.0,0.0,0.0,4
pe79n,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,6
peb0x,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
pf24t,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.61,9
pfu5p,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.32,3
pfvxh,0.0,0.3,0.0,0.0,0.0,0.0,0.18,0.51,0.0,0.0,7
