,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
cx393,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.18,0
cxl3p,0.0,0.09,0.13,0.35,0.0,0.22,0.0,0.0,0.0,0.2,3
dd89k,0.0,0.03,0.0,0.0,0.07,0.11,0.0,0.11,0.36,0.33,8
ds0n2,0.0,0.0,0.15,0.12,0.0,0.0,0.0,0.44,0.27,0.0,7
dylgr,0.43,0.0,0.15,0.0,0.13,0.23,0.0,0.06,0.0,0.0,0
e52z3,0.08,0.0,0.0,0.0,0.22,0.23,0.0,0.07,0.22,0.18,5
obpr3,0.0,0.0,0.03,0.0,0.06,0.29,0.0,0.0,0.2,0.41,9
oc6av,0.0,0.0,0.0,0.0,0.27,0.26,0.0,0.0,0.0,0.45,9
oh156,0.0,0.0,0.0,0.02,0.14,0.66,0.0,0.0,0.0,0.17,5
oijl6,0.0,0.0,0.05,0.0,0.22,0.06,0.33,0.0,0.0,0.33,6
omptx,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.53,0.0,8
oq1m7,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.1,0.47,0.1,8
os64a,0.0,0.52,0.0,0.07,0.09,0.0,0.0,0.0,0.0,0.32,1
oup5i,0.37,0.0,0.13,0.0,0.0,0.15,0.0,0.07,0.1,0.17,0
ovr6j,0.0,0.0,0.0,0.32,0.2,0.0,0.0,0.08,0.23,0.15,3
owqdw,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.09,0.86,9
owyzg,0.09,0.11,0.0,0.16,0.29,0.0,0.0,0.0,0.0,0.34,9
p4530,0.33,0.01,0.01,0.39,0.01,0.01,0.17,0.01,0.01,0.01,3
p6h5c,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.45,5
p9mc8,0.0,0.0,0.09,0.02,0.02,0.21,0.13,0.02,0.17,0.35,9
pddfa,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.44,9
pe0hl,0.13,0.0,0.35,0.0,0.09,0.0,0.11,0.0,0.32,0.0,2
pe79n,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,3
peb0x,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
pf24t,0.0,0.67,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1
pfu5p,0.0,0.23,0.0,0.11,0.2,0.1,0.0,0.0,0.0,0.35,9
pfvxh,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.33,0
pgmy3,0.32,0.0,0.39,0.0,0.0,0.12,0.04,0.0,0.0,0.12,2
phagj,0.26,0.0,0.0,0.0,0.22,0.0,0.04,0.42,0.0,0.06,7
pi6l6,0.21,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.13,0.4,9
plikw,0.14,0.04,0.06,0.0,0.06,0.28,0.02,0.1,0.17,0.13,5
pmlnk,0.0,0.0,0.0,0.0,0.22,0.45,0.0,0.14,0.18,0.0,5
pn95j,0.19,0.0,0.17,0.0,0.23,0.28,0.0,0.0,0.0,0.12,5
pncps,0.0,0.0,0.11,0.17,0.44,0.0,0.0,0.0,0.25,0.0,4
po8dd,0.0,0.07,0.0,0.06,0.48,0.15,0.0,0.0,0.0,0.23,4
ppq5j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9
pruk7,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.8,9
px468,0.0,0.28,0.0,0.0,0.05,0.1,0.06,0.04,0.18,0.3,9
pxhk3,0.0,0.0,0.0,0.0,0.49,0.16,0.0,0.34,0.0,0.0,4
q0ezo,0.01,0.01,0.08,0.21,0.01,0.01,0.01,0.01,0.01,0.66,9
q2kvd,0.0,0.11,0.0,0.11,0.49,0.16,0.0,0.0,0.13,0.0,4
q2w43,0.07,0.14,0.04,0.0,0.02,0.15,0.07,0.09,0.15,0.27,9
q3g6p,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.11,0.16,0.4,9
q479r,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,4
q5ind,0.0,0.0,0.06,0.0,0.2,0.39,0.0,0.0,0.34,0.0,5
q6yhs,0.19,0.37,0.07,0.0,0.0,0.13,0.14,0.09,0.0,0.0,1
qdgu4,0.45,0.01,0.09,0.01,0.01,0.01,0.01,0.19,0.24,0.01,0
qev25,0.0,0.0,0.17,0.0,0.33,0.0,0.0,0.19,0.1,0.19,4
qfzwm,0.0,0.0,0.0,0.11,0.3,0.03,0.0,0.21,0.0,0.33,9
qhvlo,0.2,0.0,0.07,0.0,0.03,0.34,0.16,0.09,0.0,0.1,5
qk979,0.0,0.1,0.0,0.07,0.0,0.02,0.0,0.49,0.31,0.0,7
qm21k,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.21,0.0,5
qnghb,0.0,0.13,0.0,0.24,0.24,0.1,0.0,0.0,0.28,0.0,8
qntkr,0.0,0.02,0.65,0.18,0.0,0.0,0.0,0.0,0.15,0.0,2
qofh1,0.0,0.15,0.03,0.0,0.0,0.0,0.8,0.0,0.0,0.0,6
quqrq,0.12,0.0,0.0,0.0,0.0,0.46,0.18,0.0,0.0,0.23,5
qwhv4,0.05,0.0,0.1,0.0,0.08,0.29,0.18,0.16,0.0,0.14,5
qyvv3,0.0,0.0,0.04,0.03,0.04,0.28,0.13,0.0,0.0,0.48,9
qz291,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.09,0.25,0.45,9
qzpsi,0.01,0.01,0.52,0.19,0.01,0.01,0.01,0.01,0.24,0.01,2
r09wt,0.0,0.14,0.0,0.0,0.2,0.08,0.0,0.1,0.15,0.33,9
r1dk4,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.39,0.23,0.11,7
r2m9c,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.19,0.0,2
r6pzw,0.0,0.0,0.0,0.21,0.0,0.05,0.15,0.16,0.14,0.29,9
r782m,0.0,0.0,0.0,0.05,0.42,0.0,0.16,0.37,0.0,0.0,4
r7pd5,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.19,0.65,9
r9meh,0.11,0.0,0.11,0.0,0.36,0.07,0.09,0.15,0.11,0.0,4
rba7u,0.61,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.14,0
rgdo6,0.24,0.0,0.11,0.05,0.39,0.0,0.08,0.0,0.13,0.0,4
rkyvg,0.0,0.0,0.0,0.0,0.07,0.18,0.0,0.47,0.0,0.27,7
rpb1w,0.32,0.0,0.0,0.0,0.29,0.2,0.03,0.16,0.0,0.0,0
rqxxo,0.22,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.39,9
rtqqa,0.0,0.15,0.16,0.14,0.0,0.0,0.06,0.03,0.17,0.26,9
rxioq,0.18,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.16,0.06,5
ryegz,0.07,0.0,0.11,0.18,0.0,0.0,0.0,0.04,0.6,0.0,8
sd4em,0.0,0.22,0.0,0.25,0.0,0.0,0.0,0.51,0.0,0.0,7
sdcry,0.11,0.27,0.02,0.1,0.0,0.0,0.12,0.05,0.0,0.32,9
sdpdx,0.45,0.0,0.05,0.0,0.0,0.1,0.04,0.0,0.18,0.16,0
