,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
cx393,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.23,0.0,0.05,0.0,0.13,0.22,5
cxl3p,0.0,0.0,0.0,0.0,0.12,0.0,0.27,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.29,8
dd89k,0.0,0.42,0.0,0.0,0.0,0.0,0.12,0.0,0.09,0.0,0.0,0.3,0.0,0.07,0.0,1
ds0n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.31,9
dylgr,0.0,0.09,0.0,0.27,0.0,0.0,0.0,0.11,0.15,0.0,0.16,0.0,0.0,0.0,0.21,3
e52z3,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.14,0.16,0.06,0.24,0.08,0.0,0.01,0.0,1
obpr3,0.0,0.32,0.0,0.03,0.0,0.2,0.0,0.0,0.0,0.0,0.04,0.37,0.0,0.04,0.0,11
oc6av,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.37,0.0,0.0,0.2,0.0,0.0,0.09,0.05,7
oh156,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.0,0.06,0.0,0.0,0.02,0.04,8
oijl6,0.0,0.0,0.0,0.06,0.0,0.48,0.0,0.0,0.04,0.0,0.17,0.0,0.11,0.07,0.05,5
omptx,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1
oq1m7,0.0,0.53,0.0,0.0,0.21,0.0,0.0,0.08,0.07,0.09,0.0,0.0,0.0,0.0,0.03,1
os64a,0.0,0.0,0.0,0.0,0.09,0.0,0.36,0.06,0.07,0.06,0.13,0.0,0.0,0.0,0.23,6
oup5i,0.02,0.13,0.0,0.17,0.04,0.4,0.02,0.0,0.08,0.05,0.07,0.02,0.0,0.0,0.0,5
ovr6j,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.49,14
owqdw,0.0,0.39,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,5
owyzg,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.04,0.0,0.0,0.29,0.15,0.0,0.06,0.24,10
p4530,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.66,14
p6h5c,0.0,0.1,0.0,0.0,0.0,0.41,0.0,0.0,0.19,0.0,0.0,0.27,0.0,0.0,0.0,5
p9mc8,0.0,0.0,0.29,0.08,0.02,0.16,0.02,0.27,0.0,0.01,0.02,0.05,0.04,0.0,0.05,2
pddfa,0.0,0.27,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.17,0.0,5
pe0hl,0.0,0.28,0.0,0.11,0.3,0.14,0.0,0.0,0.0,0.0,0.11,0.0,0.07,0.0,0.0,4
pe79n,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,14
peb0x,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,14
pf24t,0.0,0.0,0.0,0.0,0.0,0.19,0.46,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.25,6
pfu5p,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.27,0.0,0.0,0.09,0.0,0.0,0.08,0.23,6
pfvxh,0.0,0.5,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.21,1
pgmy3,0.0,0.15,0.0,0.09,0.37,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.0,4
phagj,0.0,0.18,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.28,0.1,0.0,0.05,0.13,0.04,9
pi6l6,0.0,0.0,0.17,0.0,0.0,0.37,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.29,5
plikw,0.0,0.18,0.11,0.01,0.05,0.17,0.09,0.1,0.13,0.07,0.09,0.0,0.0,0.0,0.0,1
pmlnk,0.0,0.11,0.17,0.0,0.04,0.0,0.0,0.0,0.27,0.09,0.1,0.0,0.0,0.21,0.0,8
pn95j,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.2,0.23,0.0,0.3,0.0,0.0,0.0,0.09,10
pncps,0.0,0.27,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,13
po8dd,0.05,0.05,0.0,0.0,0.0,0.0,0.07,0.15,0.11,0.0,0.2,0.06,0.0,0.26,0.05,13
ppq5j,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.27,0.0,0.0,0.0,0.47,0.0,0.0,0.0,11
pruk7,0.0,0.36,0.29,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1
px468,0.02,0.17,0.03,0.0,0.0,0.22,0.33,0.12,0.04,0.03,0.05,0.0,0.0,0.0,0.0,6
pxhk3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.25,0.2,0.0,0.0,0.26,0.0,13
q0ezo,0.0,0.0,0.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.26,11
q2kvd,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.19,0.0,0.03,0.0,0.04,0.29,0.11,13
q2w43,0.02,0.1,0.05,0.0,0.05,0.22,0.18,0.22,0.0,0.06,0.04,0.0,0.01,0.0,0.04,5
q3g6p,0.15,0.0,0.0,0.0,0.0,0.19,0.0,0.39,0.0,0.07,0.0,0.0,0.0,0.19,0.0,7
q479r,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.58,0.01,0.01,0.11,0.01,10
q5ind,0.05,0.0,0.17,0.07,0.07,0.0,0.0,0.29,0.08,0.0,0.26,0.0,0.0,0.01,0.0,7
q6yhs,0.0,0.0,0.09,0.08,0.03,0.0,0.27,0.0,0.0,0.05,0.0,0.0,0.15,0.06,0.24,6
qdgu4,0.0,0.33,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.1,0.08,1
qev25,0.0,0.18,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.12,0.29,0.06,0.0,0.11,0.0,10
qfzwm,0.0,0.0,0.02,0.02,0.0,0.16,0.0,0.0,0.0,0.09,0.14,0.17,0.0,0.25,0.15,13
qhvlo,0.0,0.0,0.03,0.11,0.0,0.52,0.09,0.0,0.13,0.0,0.0,0.04,0.06,0.02,0.0,5
qk979,0.12,0.28,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.39,0.0,0.0,0.0,0.04,0.05,9
qm21k,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.03,0.01,0.0,0.0,8
