,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
cx393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.27,0.05,0.0,0.0,0.16,0.2,0.0,0.0,0.0,0.0,7
cxl3p,0.0,0.07,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.07,17
dd89k,0.0,0.08,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.06,0.0,0.2,0.0,0.11,0.0,0.0,0.0,0.0,0.41,0.0,18
ds0n2,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.21,0.0,0.0,15
dylgr,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.16,0.0,0.3,0.0,0.0,0.0,0.12,0.0,0.1,0.0,0.07,0.0,10
e52z3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.01,0.0,0.08,0.0,0.26,0.0,0.04,0.16,0.12,0.13,0.09,13
obpr3,0.0,0.02,0.03,0.0,0.0,0.06,0.0,0.12,0.09,0.0,0.07,0.33,0.0,0.05,0.0,0.0,0.02,0.0,0.2,0.0,11
oc6av,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.15,0.0,0.0,0.0,7
oh156,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.62,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.09,0.0,0.0,0.0,8
oijl6,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.06,0.0,0.11,0.0,0.18,0.0,0.07,0.0,0.16,0.0,0.0,0.0,7
