,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
cx393,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.28,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,19
cxl3p,0.0,0.09,0.0,0.0,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.0,0.0,0.0,0.17,4
dd89k,0.01,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.08,0.0,0.0,0.0,0.1,0.0,0.29,0.0,0.0,0.06,0.19,0.0,14
ds0n2,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.15,0.0,0.0,0.11,14
dylgr,0.0,0.0,0.0,0.0,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.0,0.24,0.0,0.0,0.26,19
e52z3,0.01,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.21,0.0,0.0,0.09,0.02,0.18,0.05,0.02,0.0,0.0,0.16,0.0,5
obpr3,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.06,0.01,0.06,0.15,0.0,0.03,0.24,0.0,0.02,0.03,0.07,0.0,5
oc6av,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.16,11
oh156,0.0,0.01,0.0,0.0,0.31,0.17,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.02,4
oijl6,0.0,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.0,0.0,0.05,0.39,0.0,0.14,0.0,0.0,0.06,0.04,0.0,0.09,11
omptx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.11,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,14
oq1m7,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.07,0.12,0.0,0.0,0.12,0.01,0.0,0.35,0.0,0.25,0.0,0.04,0.0,14
os64a,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.05,0.4,0.07,0.0,0.04,0.0,0.0,0.11,0.13,12
oup5i,0.15,0.0,0.03,0.0,0.0,0.17,0.0,0.05,0.08,0.0,0.02,0.18,0.0,0.0,0.0,0.0,0.22,0.0,0.1,0.0,16
ovr6j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.13,0.44,0.0,0.0,0.0,0.05,0.23,14
