,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
otb0m,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0
p0e2x,0.0,0.0,0.06,0.02,0.14,0.0,0.0,0.04,0.09,0.23,0.04,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.18,0.02,9
pfivr,0.27,0.0,0.19,0.0,0.0,0.0,0.0,0.3,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,7
pmaka,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,10
qr632,0.06,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.27,0.0,0.32,0.0,0.0,0.0,0.0,0.03,14
r2cq6,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.26,0.0,0.0,0.0,0.0,0.39,0.0,0.11,0.0,0.0,0.0,0.0,0.04,12
suaof,0.0,0.0,0.0,0.22,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.04,18
t1scb,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,6
tzrn0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
tzspb,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.39,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,19
u10e7,0.0,0.0,0.0,0.11,0.0,0.49,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,5
u11fi,0.0,0.0,0.0,0.09,0.0,0.46,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,5
ug4j0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,11
uh1sf,0.0,0.0,0.0,0.05,0.14,0.01,0.0,0.23,0.12,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,7
uuyls,0.15,0.0,0.0,0.0,0.41,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,4
vaf79,0.39,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.17,0.0,0.0,0.11,0.0,0.0,0
vgi5k,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0
vi3kt,0.32,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.07,0.05,0.03,0.0,0.26,0.0,0.12,0.0,0.0,0.0,0.0,0.03,0
vix9q,0.0,0.0,0.2,0.0,0.46,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
w25o3,0.0,0.0,0.03,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12
wmpsz,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.11,18
wvhgp,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.44,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.05,9
x52hp,0.15,0.0,0.0,0.1,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.22,0.0,0.0,17
xmdo4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
xt786,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.09,0.0,0.11,0.03,0.1,0.12,0.0,0.0,0.0,0.0,0.09,0.29,0.06,18
xugyk,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0
xvukk,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4
xw4a2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,0.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11
xx26r,0.0,0.0,0.07,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.38,0.05,0.0,0.0,0.0,0.0,0.07,0.28,0.0,0.0,10
xxs2s,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,10
xz4ks,0.0,0.0,0.0,0.22,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.04,0.0,0.0,0.24,0.0,0.0,4
xzoxo,0.0,0.0,0.14,0.0,0.52,0.0,0.0,0.0,0.0,0.28,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
y09du,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.4,0.0,0.0,0.0,14
y1o1p,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
y2185,0.0,0.03,0.0,0.0,0.22,0.0,0.0,0.07,0.0,0.11,0.06,0.18,0.05,0.0,0.0,0.0,0.05,0.0,0.11,0.1,4
y2bl9,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.21,0.0,0.0,0
y2szm,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.69,0.01,0.01,0.01,16
y7huk,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,19
yd7zl,0.0,0.0,0.0,0.0,0.45,0.0,0.04,0.0,0.02,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.26,0.04,0.09,4
yfhm1,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8
ygdo3,0.14,0.0,0.04,0.0,0.2,0.0,0.04,0.14,0.08,0.0,0.0,0.0,0.27,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12
ymv56,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.0,0.0,0.12,0.32,0.0,0.0,0.0,0
yn6w0,0.32,0.06,0.0,0.05,0.0,0.02,0.09,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.03,0.0,0.08,0.0,0.0,0.0,11
ytrk1,0.34,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.39,0.0,0.07,17
ytxi8,0.0,0.08,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
yx04y,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.17,11
yxe97,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,3
yynyd,0.0,0.0,0.12,0.0,0.4,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.09,0.17,4
z0uj9,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
z856l,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,17
z9y00,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.33,0.0,0.32,0.2,0.0,0.0,14
zcea8,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.06,0.18,0.0,0.0,0.0,0.39,0.2,0.04,17
zeqde,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.59,0.0,18
zj8rz,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,17
zl2kw,0.0,0.0,0.0,0.11,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.35,0.0,4
znspy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,10
