,t0 help,t1 control,t2 want,t3 symptom,t4 ultrasound,t5 nt,t6 ovary,t7 bleeding,t8 bad,t9 surgery,dominant_topic
2n5alb,0.0,0.04,0.46,0.0,0.0,0.02,0.0,0.26,0.0,0.21,2
2tv4of,0.06,0.0,0.0,0.0,0.06,0.72,0.0,0.15,0.0,0.0,5
2u95w1,0.0,0.0,0.0,0.0,0.0,0.3,0.47,0.21,0.0,0.0,6
2xnjq3,0.2,0.0,0.08,0.0,0.11,0.5,0.05,0.07,0.0,0.0,5
33p0nx,0.0,0.0,0.0,0.34,0.19,0.34,0.0,0.0,0.0,0.11,3
39ti3h,0.0,0.0,0.2,0.0,0.0,0.39,0.1,0.0,0.0,0.31,5
3c7tfz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,7
3e7b19,0.32,0.0,0.2,0.19,0.0,0.25,0.0,0.0,0.0,0.0,0
3egm36,0.0,0.0,0.32,0.0,0.0,0.24,0.0,0.24,0.13,0.06,2
3eh13z,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,5
3eloa4,0.0,0.27,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2
3er5rh,0.0,0.0,0.23,0.08,0.15,0.37,0.16,0.0,0.0,0.0,5
3exuup,0.0,0.0,0.42,0.0,0.0,0.0,0.28,0.15,0.13,0.0,2
3ez2kk,0.0,0.12,0.07,0.16,0.26,0.0,0.0,0.12,0.0,0.25,4
3ffn4e,0.12,0.44,0.0,0.0,0.0,0.2,0.0,0.23,0.0,0.0,1
3gmak6,0.0,0.0,0.0,0.12,0.0,0.42,0.0,0.24,0.21,0.0,5
3gpnb1,0.17,0.0,0.0,0.0,0.4,0.08,0.06,0.16,0.14,0.0,4
3gpsea,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.69,0.19,8
3ha0zg,0.0,0.09,0.0,0.07,0.0,0.27,0.28,0.0,0.28,0.0,6
3hdogh,0.02,0.17,0.18,0.0,0.06,0.25,0.07,0.25,0.0,0.0,5
3hit8q,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.82,0.0,8
3hnh1l,0.0,0.0,0.15,0.0,0.0,0.32,0.12,0.09,0.31,0.0,5
3i66hq,0.0,0.1,0.47,0.0,0.0,0.0,0.0,0.41,0.0,0.0,2
3il1vd,0.0,0.0,0.12,0.0,0.0,0.85,0.0,0.0,0.0,0.0,5
3ilwvj,0.0,0.18,0.12,0.0,0.13,0.27,0.12,0.0,0.0,0.16,5
3k1oeu,0.0,0.02,0.3,0.0,0.0,0.45,0.06,0.11,0.06,0.0,5
3kbjk4,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.28,0.32,0.07,4
3kxkv3,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.72,0.0,0.08,7
3lhw12,0.23,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.61,0.01,8
3m2vl9,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2
3nua7g,0.0,0.54,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.26,1
3of2e3,0.0,0.0,0.06,0.03,0.11,0.49,0.18,0.14,0.0,0.0,5
3olt74,0.04,0.0,0.19,0.05,0.12,0.08,0.0,0.23,0.0,0.28,9
3orxx9,0.0,0.0,0.0,0.18,0.23,0.19,0.2,0.0,0.19,0.0,4
3p9mng,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.33,0.0,0.0,2
3q4k2s,0.29,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.42,0.0,8
3qji6t,0.08,0.0,0.0,0.02,0.0,0.64,0.07,0.0,0.18,0.0,5
3r9kuv,0.61,0.0,0.0,0.12,0.0,0.26,0.0,0.0,0.0,0.0,0
3r9zg3,0.04,0.02,0.04,0.02,0.0,0.7,0.01,0.0,0.0,0.18,5
3rcg8w,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.18,0.0,0.58,9
3rd456,0.32,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.12,0.0,5
3rf2xu,0.0,0.0,0.5,0.0,0.17,0.0,0.32,0.0,0.0,0.0,2
3rjew5,0.27,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.42,9
3rjslp,0.14,0.0,0.0,0.03,0.0,0.82,0.0,0.0,0.0,0.0,5
3rtdou,0.12,0.0,0.0,0.0,0.0,0.27,0.05,0.18,0.0,0.37,9
3siss2,0.0,0.0,0.0,0.04,0.0,0.46,0.0,0.1,0.38,0.0,5
3sk7z0,0.08,0.0,0.0,0.03,0.0,0.4,0.07,0.0,0.42,0.0,8
3sxcz6,0.0,0.0,0.43,0.0,0.0,0.12,0.0,0.0,0.44,0.0,8
3th7m0,0.0,0.0,0.0,0.0,0.21,0.42,0.35,0.0,0.0,0.0,5
3tm3m6,0.04,0.0,0.0,0.09,0.02,0.0,0.0,0.06,0.49,0.3,8
3tv6m3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.74,0.0,8
3tzf7p,0.15,0.06,0.0,0.0,0.0,0.24,0.53,0.0,0.0,0.0,6
3u184r,0.13,0.0,0.68,0.0,0.0,0.0,0.16,0.0,0.0,0.0,2
3u2vjb,0.19,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,8
3u4id1,0.22,0.02,0.21,0.03,0.0,0.42,0.0,0.0,0.09,0.0,5
3u7r1c,0.07,0.0,0.14,0.0,0.0,0.45,0.0,0.0,0.0,0.34,5
3uax5b,0.04,0.12,0.0,0.27,0.21,0.19,0.0,0.18,0.0,0.0,3
3ufh1e,0.16,0.0,0.0,0.27,0.0,0.53,0.0,0.0,0.0,0.0,5
3uztfv,0.79,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0
3vb0ev,0.66,0.0,0.14,0.0,0.0,0.1,0.0,0.0,0.08,0.0,0
3vejba,0.0,0.0,0.0,0.21,0.0,0.0,0.5,0.0,0.0,0.27,6
3vutxb,0.18,0.0,0.07,0.08,0.0,0.35,0.05,0.0,0.26,0.0,5
3w1v23,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.39,0.49,0.0,8
3x9tu9,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.4,0.0,3
3xdr7c,0.0,0.0,0.0,0.14,0.29,0.0,0.11,0.18,0.27,0.0,4
3y0yjd,0.0,0.0,0.0,0.08,0.08,0.49,0.19,0.0,0.0,0.16,5
3y1qnx,0.0,0.16,0.0,0.0,0.0,0.0,0.12,0.0,0.16,0.55,9
3ygx4g,0.0,0.0,0.62,0.0,0.0,0.0,0.34,0.0,0.0,0.0,2
3ylg8r,0.0,0.06,0.0,0.0,0.0,0.67,0.15,0.0,0.08,0.04,5
3z0dq7,0.16,0.07,0.0,0.0,0.0,0.38,0.03,0.0,0.35,0.0,5
3zi272,0.12,0.0,0.0,0.43,0.31,0.0,0.07,0.0,0.07,0.0,3
3zru8r,0.18,0.0,0.01,0.0,0.0,0.76,0.0,0.05,0.0,0.0,5
3zvehl,0.0,0.0,0.0,0.2,0.0,0.0,0.24,0.0,0.32,0.22,8
3zxw84,0.16,0.03,0.0,0.0,0.0,0.42,0.0,0.16,0.23,0.0,5
401dq9,0.0,0.26,0.0,0.0,0.1,0.0,0.0,0.29,0.34,0.0,8
40eqiv,0.0,0.0,0.0,0.34,0.0,0.45,0.0,0.18,0.0,0.0,5
4101kc,0.09,0.02,0.13,0.0,0.0,0.4,0.02,0.0,0.32,0.02,5
412uua,0.56,0.0,0.0,0.05,0.0,0.0,0.06,0.12,0.09,0.12,0
415yaq,0.0,0.1,0.08,0.0,0.0,0.22,0.11,0.06,0.39,0.04,8
41g5pi,0.81,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0
41q9np,0.0,0.0,0.4,0.0,0.0,0.45,0.0,0.0,0.0,0.14,5
41w9xk,0.0,0.09,0.08,0.0,0.15,0.46,0.22,0.0,0.0,0.0,5
41yyq5,0.05,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.31,6
420ob8,0.11,0.0,0.0,0.0,0.0,0.0,0.46,0.2,0.0,0.22,6
42miop,0.0,0.01,0.12,0.23,0.22,0.24,0.0,0.06,0.12,0.0,5
42uqtw,0.05,0.02,0.0,0.0,0.0,0.17,0.0,0.18,0.57,0.0,8
45oe0x,0.0,0.05,0.0,0.09,0.49,0.14,0.12,0.0,0.0,0.11,4
46dogt,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.26,0.06,0.12,5
46ks4t,0.0,0.0,0.0,0.1,0.4,0.17,0.0,0.16,0.0,0.16,4
46lyie,0.11,0.0,0.22,0.0,0.15,0.52,0.0,0.0,0.0,0.0,5
46tbv8,0.0,0.0,0.0,0.0,0.11,0.33,0.0,0.12,0.44,0.0,8
46vsfq,0.0,0.0,0.0,0.0,0.3,0.24,0.0,0.0,0.44,0.0,8
49jleq,0.68,0.0,0.0,0.17,0.0,0.0,0.0,0.13,0.0,0.0,0
49kc1k,0.0,0.0,0.0,0.26,0.17,0.0,0.0,0.22,0.35,0.0,8
49pmhh,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.19,0.0,0.63,9
4ajgda,0.0,0.0,0.51,0.0,0.0,0.0,0.32,0.16,0.0,0.0,2
4b7k4u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.18,0.39,7
4bj8ty,0.0,0.19,0.42,0.0,0.0,0.0,0.16,0.2,0.0,0.0,2
4c38vd,0.0,0.0,0.23,0.0,0.13,0.0,0.0,0.48,0.16,0.0,7
4ced9v,0.0,0.07,0.0,0.0,0.42,0.12,0.0,0.0,0.22,0.17,4
4ctv7z,0.0,0.0,0.04,0.02,0.07,0.0,0.05,0.36,0.47,0.0,8
4cypke,0.09,0.0,0.09,0.06,0.0,0.18,0.0,0.27,0.26,0.05,7
4dy658,0.08,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.35,5
4e0a9p,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.78,9
4e9dvx,0.0,0.15,0.0,0.0,0.0,0.32,0.0,0.39,0.14,0.0,7
4ebzv9,0.0,0.26,0.13,0.0,0.0,0.58,0.0,0.0,0.0,0.0,5
4ed9hf,0.0,0.0,0.12,0.22,0.31,0.0,0.0,0.0,0.34,0.0,8
4enwzr,0.22,0.0,0.21,0.0,0.0,0.0,0.34,0.0,0.0,0.21,6
4f434h,0.09,0.06,0.1,0.09,0.0,0.1,0.04,0.02,0.49,0.02,8
4fv6n5,0.0,0.0,0.0,0.14,0.62,0.0,0.0,0.0,0.0,0.21,4
4glsui,0.0,0.0,0.14,0.11,0.0,0.33,0.0,0.29,0.12,0.0,5
4h2itk,0.0,0.0,0.09,0.0,0.0,0.1,0.08,0.0,0.34,0.39,9
4h8yqw,0.27,0.06,0.31,0.09,0.08,0.07,0.11,0.0,0.0,0.0,2
4hhww7,0.0,0.0,0.0,0.53,0.0,0.0,0.09,0.0,0.35,0.0,3
4hr2yd,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.51,9
4idvyx,0.19,0.06,0.0,0.0,0.0,0.24,0.0,0.0,0.25,0.25,8
4ihvj4,0.25,0.21,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,4
4kgby6,0.0,0.0,0.0,0.28,0.15,0.33,0.0,0.0,0.24,0.0,5
4l2epp,0.45,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.29,0
4l9p6d,0.0,0.0,0.09,0.03,0.32,0.55,0.0,0.0,0.0,0.0,5
4mavep,0.0,0.0,0.12,0.0,0.0,0.86,0.0,0.0,0.0,0.0,5
4mfexy,0.21,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.5,0.0,8
4mfgv8,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.19,0.43,9
4n5ai7,0.0,0.2,0.0,0.0,0.0,0.39,0.0,0.29,0.0,0.11,5
4nqph1,0.0,0.0,0.0,0.0,0.29,0.32,0.0,0.21,0.17,0.0,5
4o3vh1,0.33,0.01,0.01,0.01,0.01,0.24,0.01,0.39,0.01,0.01,7
4ogywq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.29,8
4oy777,0.0,0.15,0.0,0.06,0.0,0.11,0.19,0.48,0.0,0.0,7
4p6q28,0.0,0.17,0.0,0.0,0.17,0.38,0.27,0.0,0.0,0.0,5
4prwt3,0.44,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0
4prxwa,0.54,0.33,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
4pu15f,0.0,0.08,0.21,0.23,0.0,0.0,0.0,0.11,0.0,0.37,9
4q8hs6,0.0,0.08,0.12,0.08,0.0,0.3,0.0,0.1,0.12,0.19,5
4sp71k,0.08,0.05,0.17,0.0,0.5,0.0,0.09,0.06,0.0,0.05,4
4sqyt9,0.0,0.13,0.0,0.0,0.21,0.0,0.0,0.65,0.0,0.0,7
4st9gt,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.45,0.01,2
4swn6p,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.4,0.0,0.41,9
