,t0 amp,t1 period,t2 nt,t3 period,t4 ultrasound,t5 surgery,t6 control,t7 help,t8 doctor,t9 surgery,dominant_topic
2n5alb,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.11,0.05,0.32,6
2tv4of,0.08,0.25,0.6,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2
2u95w1,0.0,0.32,0.0,0.0,0.12,0.3,0.0,0.0,0.24,0.0,1
2xnjq3,0.01,0.0,0.3,0.0,0.11,0.08,0.0,0.13,0.35,0.0,8
33p0nx,0.0,0.0,0.0,0.41,0.19,0.0,0.0,0.0,0.22,0.16,3
39ti3h,0.0,0.0,0.25,0.0,0.0,0.09,0.0,0.0,0.22,0.44,9
3c7tfz,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,3
3e7b19,0.0,0.0,0.35,0.0,0.0,0.07,0.0,0.56,0.0,0.0,7
3egm36,0.0,0.23,0.31,0.0,0.0,0.15,0.04,0.0,0.25,0.0,2
3eh13z,0.0,0.0,0.57,0.0,0.0,0.1,0.0,0.0,0.31,0.0,2
3eloa4,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.39,0.0,0.0,6
3er5rh,0.0,0.0,0.48,0.13,0.18,0.2,0.0,0.0,0.0,0.0,2
3exuup,0.05,0.0,0.05,0.0,0.0,0.32,0.22,0.0,0.0,0.35,9
3ez2kk,0.0,0.3,0.0,0.0,0.35,0.0,0.34,0.0,0.0,0.0,4
3ffn4e,0.0,0.0,0.0,0.0,0.0,0.12,0.55,0.0,0.31,0.0,6
3gmak6,0.0,0.0,0.35,0.22,0.0,0.0,0.27,0.0,0.15,0.0,2
3gpnb1,0.0,0.25,0.07,0.08,0.19,0.0,0.0,0.12,0.17,0.11,1
3gpsea,0.01,0.36,0.01,0.01,0.01,0.01,0.01,0.36,0.01,0.24,1
3ha0zg,0.02,0.0,0.2,0.15,0.0,0.15,0.16,0.0,0.31,0.0,8
3hdogh,0.0,0.09,0.0,0.0,0.04,0.06,0.39,0.06,0.36,0.0,6
3hit8q,0.0,0.31,0.22,0.33,0.1,0.0,0.0,0.0,0.0,0.04,3
3hnh1l,0.0,0.19,0.53,0.0,0.0,0.16,0.0,0.0,0.12,0.0,2
3i66hq,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.54,0.0,0.0,7
3il1vd,0.0,0.0,0.54,0.0,0.0,0.28,0.0,0.0,0.16,0.0,2
3ilwvj,0.0,0.0,0.0,0.0,0.16,0.35,0.29,0.0,0.2,0.0,5
3k1oeu,0.0,0.0,0.18,0.03,0.0,0.21,0.04,0.0,0.53,0.0,8
3kbjk4,0.0,0.49,0.0,0.0,0.22,0.0,0.14,0.09,0.0,0.05,1
3kxkv3,0.62,0.0,0.0,0.0,0.0,0.04,0.13,0.0,0.0,0.21,0
3lhw12,0.0,0.0,0.6,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2
3m2vl9,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.29,7
3nua7g,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.19,6
3of2e3,0.01,0.0,0.09,0.07,0.11,0.2,0.0,0.0,0.51,0.0,8
3olt74,0.13,0.0,0.0,0.0,0.13,0.1,0.26,0.08,0.0,0.31,9
3orxx9,0.0,0.2,0.17,0.24,0.23,0.15,0.0,0.0,0.0,0.0,3
3p9mng,0.06,0.0,0.18,0.0,0.0,0.03,0.42,0.11,0.19,0.0,6
3q4k2s,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2
3qji6t,0.01,0.11,0.55,0.02,0.0,0.09,0.0,0.0,0.19,0.04,2
3r9kuv,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.56,0.0,0.0,7
3r9zg3,0.0,0.0,0.41,0.0,0.0,0.04,0.03,0.04,0.24,0.24,2
3rcg8w,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.53,9
