,t0 pregnant,t1 amp,t2 help,t3 weight,t4 symptom,t5 ultrasound,t6 tissue,t7 surgery,t8 nt,t9 surgery,t10 experience,t11 back,t12 nt,t13 pill,t14 control,dominant_topic
2n5alb,0.0,0.0,0.29,0.02,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.34,0.24,0.0,12
2tv4of,0.0,0.04,0.0,0.0,0.24,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.38,0.0,0.0,12
2u95w1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.11,0.23,0.0,0.0,7
2xnjq3,0.09,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.35,0.0,0.34,0.0,0.0,10
33p0nx,0.0,0.0,0.15,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5
39ti3h,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.21,0.34,0.1,0.0,0.29,0.0,0.0,9
3c7tfz,0.01,0.01,0.15,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,4
3e7b19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.74,0.0,0.0,0.0,0.0,10
3egm36,0.26,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.0,0.04,0.0,0.31,0.11,0.0,12
3eh13z,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.17,0.0,0.0,0.16,0.0,0.0,8
3eloa4,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2
3er5rh,0.07,0.0,0.0,0.0,0.0,0.18,0.02,0.13,0.48,0.0,0.0,0.12,0.0,0.0,0.0,8
3exuup,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.07,0.0,0.21,0.0,7
3ez2kk,0.0,0.02,0.04,0.0,0.0,0.24,0.0,0.12,0.0,0.07,0.0,0.16,0.0,0.0,0.32,14
3ffn4e,0.06,0.0,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.2,0.0,0.14,0.21,0.27,14
3gmak6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.34,0.0,0.0,0.23,0.0,0.21,0.0,8
3gpnb1,0.01,0.0,0.0,0.0,0.14,0.31,0.0,0.0,0.0,0.04,0.17,0.07,0.15,0.0,0.11,5
3gpsea,0.0,0.0,0.0,0.17,0.19,0.0,0.0,0.0,0.0,0.34,0.0,0.15,0.0,0.11,0.0,9
3ha0zg,0.2,0.02,0.0,0.0,0.08,0.0,0.0,0.0,0.46,0.04,0.0,0.0,0.0,0.0,0.19,8
3hdogh,0.0,0.0,0.05,0.01,0.0,0.1,0.0,0.11,0.1,0.0,0.06,0.0,0.24,0.27,0.05,13
3hit8q,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.15,0.0,0.0,0.39,0.0,0.0,0.0,4
3hnh1l,0.1,0.0,0.04,0.0,0.17,0.0,0.0,0.09,0.48,0.0,0.0,0.0,0.07,0.05,0.0,8
