,t0 amp,t1 period,t2 nt,t3 sex,t4 symptom,t5 feel,t6 nt,t7 endometriosis,t8 control,t9 surgery,t10 day,t11 cyst,t12 pelvic,t13 advice,t14 else,dominant_topic
2n5alb,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.12,0.46,0.0,0.0,0.0,0.0,0.13,0.0,8
2tv4of,0.04,0.0,0.29,0.0,0.1,0.14,0.28,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,2
2u95w1,0.0,0.0,0.15,0.0,0.03,0.0,0.17,0.0,0.0,0.17,0.0,0.35,0.0,0.0,0.12,11
2xnjq3,0.07,0.06,0.44,0.0,0.0,0.04,0.0,0.09,0.0,0.03,0.16,0.09,0.0,0.0,0.0,2
33p0nx,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.24,0.38,0.0,13
39ti3h,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.23,0.0,0.0,0.09,0.0,2
3c7tfz,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,1
3e7b19,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3egm36,0.0,0.0,0.38,0.0,0.0,0.0,0.26,0.0,0.24,0.0,0.12,0.0,0.0,0.0,0.0,2
3eh13z,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,2
3eloa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.13,0.18,0.0,8
3er5rh,0.0,0.0,0.51,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.17,0.0,0.0,2
3exuup,0.24,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.06,0.0,0.23,0.0,9
3ez2kk,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.42,0.18,0.0,0.0,0.08,0.0,0.0,8
3ffn4e,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.57,0.0,0.11,0.09,0.0,0.0,0.0,8
3gmak6,0.0,0.13,0.0,0.0,0.13,0.33,0.17,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,5
3gpnb1,0.0,0.08,0.0,0.0,0.17,0.0,0.28,0.1,0.0,0.04,0.16,0.04,0.03,0.09,0.0,6
3gpsea,0.0,0.0,0.0,0.0,0.24,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.44,14
3ha0zg,0.02,0.0,0.32,0.14,0.03,0.0,0.0,0.0,0.39,0.0,0.0,0.1,0.0,0.0,0.0,8
3hdogh,0.0,0.0,0.0,0.0,0.02,0.0,0.15,0.05,0.53,0.0,0.2,0.04,0.0,0.0,0.0,8
3hit8q,0.0,0.1,0.25,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,14
3hnh1l,0.0,0.15,0.67,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,2
3i66hq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.44,0.0,0.0,0.0,0.0,0.0,0.24,8
3il1vd,0.0,0.0,0.65,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.0,2
3ilwvj,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.44,0.25,0.0,0.03,0.16,0.0,0.0,8
3k1oeu,0.03,0.07,0.34,0.0,0.03,0.0,0.0,0.03,0.25,0.0,0.26,0.0,0.0,0.0,0.0,2
3kbjk4,0.0,0.49,0.0,0.0,0.18,0.11,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0,0.0,1
3kxkv3,0.58,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0
3lhw12,0.0,0.0,0.45,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3m2vl9,0.42,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3nua7g,0.22,0.0,0.0,0.0,0.0,0.08,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,6
3of2e3,0.02,0.0,0.19,0.0,0.0,0.13,0.0,0.0,0.43,0.0,0.0,0.12,0.09,0.0,0.02,8
3olt74,0.2,0.0,0.07,0.0,0.0,0.0,0.19,0.05,0.0,0.26,0.0,0.0,0.22,0.0,0.0,9
3orxx9,0.0,0.49,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1
3p9mng,0.17,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.1,0.0,8
3q4k2s,0.0,0.0,0.33,0.26,0.11,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3qji6t,0.01,0.0,0.33,0.03,0.01,0.05,0.04,0.09,0.0,0.0,0.39,0.03,0.0,0.0,0.02,10
3r9kuv,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.22,7
3r9zg3,0.0,0.0,0.27,0.0,0.0,0.15,0.0,0.04,0.05,0.23,0.25,0.0,0.0,0.0,0.0,2
3rcg8w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.7,0.0,0.0,0.0,0.0,0.0,9
3rd456,0.0,0.0,0.61,0.04,0.0,0.0,0.0,0.09,0.0,0.0,0.18,0.01,0.0,0.0,0.06,2
3rf2xu,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.22,0.0,0.09,0.0,8
