,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
2n5alb,0.0,0.0,0.28,0.0,0.02,0.0,0.0,0.29,0.0,0.0,0.0,0.13,0.0,0.1,0.0,0.0,0.17,0.0,0.0,0.0,7
2tv4of,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.15,0.11,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.28,0.0,0.0,17
2u95w1,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.19,0.09,0.0,7
2xnjq3,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.2,0.0,0.0,0.29,0.08,0.11,0.0,0.0,0.0,0.0,0.24,0.03,0.0,10
33p0nx,0.04,0.0,0.05,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,5
39ti3h,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.2,0.0,0.33,0.0,0.0,12
3c7tfz,0.01,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,14
3e7b19,0.0,0.0,0.0,0.29,0.08,0.0,0.0,0.0,0.45,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
3egm36,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,17
3eh13z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.21,0.0,0.0,12
3eloa4,0.07,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,2
3er5rh,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.07,0.11,0.0,0.0,0.0,0.05,0.21,0.29,0.08,0.0,17
3exuup,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.05,0.0,0.47,0.0,0.08,0.0,0.0,15
3ez2kk,0.03,0.03,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.14,0.0,0.31,0.0,0.0,5
3ffn4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.07,0.11,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,7
3gmak6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.15,0.0,0.31,0.0,0.0,0.29,0.0,0.0,14
3gpnb1,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.11,0.0,0.0,0.15,0.1,0.0,0.0,0.21,0.06,0.0,0.2,0.0,0.0,14
3gpsea,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,11
3ha0zg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.31,0.07,0.04,0.0,0.0,0.34,0.0,0.02,17
3hdogh,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.25,0.0,0.02,0.09,0.0,0.13,0.19,0.0,0.0,0.15,0.0,0.03,0.0,7
3hit8q,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.24,0.17,0.0,0.0,5
3hnh1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.05,0.17,0.0,0.12,0.0,0.0,0.28,0.0,0.0,8
3i66hq,0.0,0.0,0.2,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.2,0.0,0.05,0.0,0.0,0.0,4
3il1vd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.5,0.0,0.0,0.0,0.17,0.25,0.0,0.0,12
3ilwvj,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.18,0.0,0.27,0.0,0.35,0.0,0.0,17
3k1oeu,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.54,0.03,0.09,0.0,0.0,0.11,0.0,0.01,12
3kbjk4,0.0,0.02,0.0,0.0,0.13,0.0,0.0,0.29,0.0,0.0,0.0,0.04,0.0,0.0,0.39,0.0,0.0,0.09,0.03,0.0,14
