,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
cx393,0.37,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.29,0.0,0.0,0.0,0.17,0.0,0.0,0
cxl3p,0.25,0.0,0.0,0.0,0.18,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,5
dd89k,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.27,0.0,0.43,0.1,0.02,0.0,11
ds0n2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.5,0.0,0.18,12
dylgr,0.19,0.24,0.0,0.0,0.0,0.22,0.0,0.0,0.08,0.0,0.0,0.15,0.0,0.11,0.0,1
e52z3,0.08,0.0,0.04,0.0,0.1,0.19,0.0,0.01,0.21,0.08,0.0,0.16,0.03,0.09,0.0,8
obpr3,0.0,0.0,0.08,0.0,0.0,0.19,0.0,0.02,0.08,0.22,0.05,0.32,0.0,0.03,0.0,11
oc6av,0.07,0.0,0.29,0.0,0.0,0.35,0.0,0.06,0.0,0.13,0.0,0.0,0.0,0.08,0.0,5
oh156,0.0,0.03,0.16,0.0,0.03,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,5
oijl6,0.0,0.04,0.35,0.03,0.03,0.1,0.22,0.03,0.0,0.0,0.04,0.0,0.0,0.16,0.0,2
omptx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.54,0.0,0.0,0.0,11
oq1m7,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.56,0.04,0.0,0.12,11
os64a,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.5,0.08,0.03,12
oup5i,0.15,0.05,0.09,0.0,0.0,0.05,0.0,0.0,0.37,0.04,0.03,0.13,0.0,0.05,0.04,8
ovr6j,0.25,0.1,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.2,0.0,0.18,0.0,0
owqdw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.62,0.0,0.04,0.0,11
owyzg,0.38,0.0,0.09,0.0,0.0,0.0,0.0,0.12,0.0,0.15,0.0,0.0,0.12,0.14,0.0,0
p4530,0.01,0.01,0.01,0.72,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
p6h5c,0.0,0.0,0.11,0.0,0.0,0.34,0.0,0.0,0.0,0.22,0.11,0.19,0.0,0.0,0.0,5
p9mc8,0.02,0.04,0.17,0.02,0.0,0.06,0.07,0.0,0.05,0.02,0.26,0.24,0.02,0.01,0.04,10
pddfa,0.28,0.0,0.23,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.0,0.26,0.05,0.0,0.0,0
pe0hl,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.22,0.0,0.0,0.3,0.0,0.08,0.3,11
pe79n,0.01,0.01,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38,3
peb0x,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3
pf24t,0.29,0.0,0.12,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,12
pfu5p,0.09,0.0,0.23,0.07,0.06,0.11,0.0,0.0,0.0,0.0,0.06,0.0,0.36,0.0,0.0,12
pfvxh,0.26,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.46,0.0,0.0,0.0,11
pgmy3,0.19,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.32,0.06,0.0,0.0,0.0,0.0,0.34,14
phagj,0.06,0.0,0.12,0.0,0.13,0.0,0.03,0.0,0.37,0.01,0.0,0.0,0.22,0.05,0.0,8
pi6l6,0.31,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.21,0.0,0.13,0.0,0
plikw,0.03,0.0,0.06,0.01,0.0,0.14,0.0,0.03,0.32,0.0,0.1,0.18,0.12,0.01,0.0,8
pmlnk,0.0,0.0,0.0,0.0,0.14,0.32,0.0,0.13,0.17,0.0,0.04,0.06,0.0,0.13,0.0,5
pn95j,0.1,0.0,0.08,0.0,0.0,0.31,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.19,0.09,5
pncps,0.0,0.0,0.0,0.15,0.31,0.0,0.0,0.11,0.0,0.0,0.0,0.27,0.0,0.0,0.14,4
po8dd,0.04,0.0,0.1,0.09,0.11,0.17,0.0,0.22,0.0,0.09,0.0,0.0,0.08,0.1,0.0,7
ppq5j,0.0,0.0,0.21,0.23,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,9
pruk7,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.3,0.0,0.0,0.1,10
px468,0.0,0.0,0.2,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.06,0.23,0.39,0.03,0.0,12
pxhk3,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.31,0.19,0.0,0.0,0.0,0.21,0.06,0.0,7
q0ezo,0.0,0.08,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.22,0.0,0.0,0.0,10
q2kvd,0.09,0.0,0.0,0.0,0.57,0.0,0.06,0.13,0.0,0.0,0.0,0.0,0.1,0.02,0.02,4
q2w43,0.02,0.01,0.2,0.01,0.0,0.11,0.02,0.0,0.08,0.0,0.03,0.23,0.23,0.02,0.03,11
q3g6p,0.0,0.0,0.37,0.0,0.24,0.0,0.0,0.05,0.15,0.0,0.0,0.17,0.0,0.0,0.0,2
q479r,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.58,0.01,13
q5ind,0.0,0.0,0.05,0.0,0.07,0.1,0.0,0.01,0.33,0.0,0.1,0.2,0.01,0.14,0.0,8
q6yhs,0.15,0.14,0.0,0.0,0.0,0.06,0.13,0.08,0.0,0.0,0.08,0.0,0.3,0.0,0.04,12
qdgu4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.08,0.33,0.0,0.0,0.35,0.0,0.0,0.0,11
qev25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,0.06,0.0,0.19,0.0,0.22,0.15,8
qfzwm,0.18,0.0,0.13,0.0,0.17,0.04,0.0,0.0,0.15,0.13,0.03,0.0,0.06,0.11,0.0,0
qhvlo,0.06,0.0,0.1,0.0,0.03,0.19,0.13,0.0,0.38,0.03,0.02,0.0,0.07,0.0,0.0,8
qk979,0.0,0.0,0.0,0.03,0.09,0.02,0.0,0.05,0.08,0.0,0.0,0.26,0.48,0.0,0.0,12
qm21k,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.04,0.0,0.27,0.17,0.0,0.0,0.0,5
qnghb,0.0,0.07,0.0,0.07,0.2,0.05,0.0,0.0,0.0,0.09,0.0,0.24,0.1,0.18,0.0,11
qntkr,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.81,14
qofh1,0.0,0.0,0.19,0.0,0.0,0.0,0.7,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.03,6
quqrq,0.06,0.0,0.2,0.0,0.0,0.33,0.07,0.0,0.2,0.11,0.02,0.0,0.0,0.0,0.0,5
qwhv4,0.0,0.0,0.15,0.0,0.09,0.2,0.13,0.0,0.28,0.0,0.0,0.0,0.08,0.03,0.06,8
qyvv3,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.0,0.44,0.05,0.0,0.23,0.0,0.03,0.02,8
qz291,0.05,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.16,0.0,0.0,0.35,0.07,0.02,0.0,11
qzpsi,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.44,14
r09wt,0.0,0.0,0.23,0.0,0.27,0.03,0.0,0.0,0.0,0.0,0.03,0.16,0.22,0.05,0.0,4
r1dk4,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.15,0.02,0.0,0.27,0.5,0.0,0.0,12
r2m9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.67,14
r6pzw,0.2,0.0,0.0,0.08,0.0,0.06,0.14,0.0,0.0,0.07,0.05,0.23,0.16,0.0,0.0,11
r782m,0.0,0.0,0.14,0.0,0.15,0.0,0.09,0.23,0.0,0.0,0.0,0.0,0.31,0.05,0.02,12
r7pd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.08,0.43,0.0,0.09,0.0,11
r9meh,0.0,0.08,0.0,0.0,0.06,0.0,0.11,0.12,0.49,0.0,0.0,0.03,0.0,0.08,0.02,8
rba7u,0.48,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.2,0.0,0.14,0.0,0.04,0.02,0.0,0
rgdo6,0.09,0.03,0.0,0.0,0.0,0.0,0.07,0.12,0.12,0.0,0.03,0.09,0.0,0.38,0.07,13
